PORT_CODE,DATE,IEC,HS_CODE,GOODS_DESCRIPTION,MASTER_CATEGORY,MODEL_NAME,MODEL_NUMBER,CAPACITY,QTY,UNIT_OF_MEASURE,PRICE,UNIT_OF_MEASURE.1,QUANTITY,UNIT,UNIT_PRICE_INR,TOTAL_VALUE_INR,UNIT_PRICE_USD,TOTAL_VALUE_USD,DUTY_PAID_INR,YEAR,MONTH,STD_UNIT,EXTRACTED_MODEL,EXTRACTED_MATERIAL,EMBEDDED_QTY,EXTRACTED_USD_PRICE,GRAND_TOTAL_INR,LANDED_COST_PER_UNIT,CATEGORY,SUB_CATEGORY,SUPPLIER_NAME
INNSA1,2025-09-27,301049751,73231000,8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 PER SETS)8001-2 STEEL SCRUBBER 2PCS SET (QTY: 168000 SETS/USD 0.139 P,,,,,,,,,4900.0,KGS,442.0729367,2166157.39,4.975497318,24379.93686,952242.8,2025,9,KGS,8001-2,STEEL,168000.0,0.139,3118400.1900000004,636.4082020408164,CLEANING,STANDARD,Global Supplier Group-1
INNSA1,2025-09-24,301049751,73239990,AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS) AM-321 STEEL DRAINER (QTY:28752 PCS/USD 0.7050 PER PCS),,,,,,,,,3953.4,KGS,492.7319699,1947966.57,5.545660889,21924.21576,547378.6,2025,9,KGS,AM-321,STEEL,28752.0,0.705,2495345.17,631.1896519451611,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-09-24,301049751,73239990,HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.36 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (2628) (QTY: 166608 SET/USD 0.,,,,,,,,,5646.16,KGS,971.5058004,5485277.19,10.93422398,61736.37805,1541362.8,2025,9,KGS,HOUSEHOLD,STEEL,166608.0,0.36,7026639.99,1244.4989143063606,GENERAL,STANDARD,Global Supplier Group-4
INNSA1,2025-09-24,301049751,73239990,NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS) NP-55 STEEL TEA STRAINER (QTY:50400 PCS/USD 0.2710 PER PCS),,,,,,,,,2310.0,KGS,568.2142554,1312574.93,6.395208277,14772.93112,368833.6,2025,9,KGS,NP-55,STEEL,50400.0,0.271,1681408.5299999998,727.8824805194804,GENERAL,STANDARD,Global Supplier Group-5
INNSA1,2025-09-24,301049751,73239990,"HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.24 PER SET)HOUSEHOLD STEEL HOOK 3PCS SET (3888) (QTY:55,296 SET/USD:0.2",,,,,,,,,1843.2,KGS,689.9043023,1271631.61,7.76482051,14312.11716,357328.4,2025,9,KGS,HOUSEHOLD,STEEL,55.0,0.24,1628960.0100000002,883.7673665364584,GENERAL,STANDARD,Global Supplier Group-3
INNSA1,2025-09-24,301049751,73239990,SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PCS)SB-12 STEEL TEA STRAINER BIG (QTY:1026 PCS/USD 0.9770 PER PC,,,,,,,,,250.8,KGS,384.0942584,96330.84,4.322951698,1084.196286,27069.0,2025,9,KGS,SB-12,STEEL,1026.0,0.977,123399.84,492.0248803827751,GENERAL,STANDARD,Global Supplier Group-5
INNSA1,2025-09-24,301049751,73239990,HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360PER SET)HOUSEHOLD STEEL HOOK 3 PCS SET (2628) (QTY:432 SET/USD:0.360,,,,,,,,,14.64,KGS,987.6775956,14459.6,11.1162363,162.7416995,4063.1,2025,9,KGS,HOUSEHOLD,STEEL,432.0,0.36,18522.7,1265.2117486338798,GENERAL,STANDARD,Global Supplier Group-1
INNSA1,2025-09-23,301049751,73239990,MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 1232 PCS/CNY 101 PER PCS)MILD STEEL MULTI FUNCTION CLOTH STAND (RYX-02-020) (QTY: 123,,,,,,,,,4004.0,KGS,434.3341334,1739073.87,4.888397674,19573.14429,488679.8,2025,9,KGS,MILD,STEEL,1232.0,,2227753.67,556.3820354645354,GENERAL,STANDARD,Global Supplier Group-2
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS) H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS),,,,,,,,,9776.0,KGS,347.6034667,3398171.49,3.912250609,38246.16196,954886.2,2025,9,KGS,H2740,STEEL,24960.0,1.46,4353057.69,445.28004193944355,KITCHENWARE,STANDARD,Global Supplier Group-3
INNSA1,2025-09-23,301049751,73239990,H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS)H2740 STEEL CUTLERY HOLDER (QTY:24960 PCS/ USD 1.46 PER PCS,,,,,,,,,9776.0,KGS,347.6034186,3398171.02,3.912250068,38246.15667,954886.0,2025,9,KGS,H2740,STEEL,24960.0,1.46,4353057.02,445.27997340425526,KITCHENWARE,STANDARD,Global Supplier Group-3
